2025-01-15 14:12:31,603 INFO    MainThread:28332 [wandb_setup.py:_flush():76] Current SDK version is 0.15.5
2025-01-15 14:12:31,604 INFO    MainThread:28332 [wandb_setup.py:_flush():76] Configure stats pid to 28332
2025-01-15 14:12:31,604 INFO    MainThread:28332 [wandb_setup.py:_flush():76] Loading settings from C:\Users\mstan\.config\wandb\settings
2025-01-15 14:12:31,604 INFO    MainThread:28332 [wandb_setup.py:_flush():76] Loading settings from C:\Users\mstan\OneDrive\Dokumenty\GitHub\RL\RL\wandb\settings
2025-01-15 14:12:31,604 INFO    MainThread:28332 [wandb_setup.py:_flush():76] Loading settings from environment variables: {'api_key': '***REDACTED***'}
2025-01-15 14:12:31,604 INFO    MainThread:28332 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2025-01-15 14:12:31,605 INFO    MainThread:28332 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'RL\\rl_train_rem.py', 'program': 'rl_train_rem.py'}
2025-01-15 14:12:31,605 INFO    MainThread:28332 [wandb_init.py:_log_setup():507] Logging user logs to C:\Users\mstan\OneDrive\Dokumenty\GitHub\RL\RL\wandb\run-20250115_141231-nicrd9w1\logs\debug.log
2025-01-15 14:12:31,605 INFO    MainThread:28332 [wandb_init.py:_log_setup():508] Logging internal logs to C:\Users\mstan\OneDrive\Dokumenty\GitHub\RL\RL\wandb\run-20250115_141231-nicrd9w1\logs\debug-internal.log
2025-01-15 14:12:31,605 INFO    MainThread:28332 [wandb_init.py:init():547] calling init triggers
2025-01-15 14:12:31,605 INFO    MainThread:28332 [wandb_init.py:init():554] wandb.init called with sweep_config: {}
config: {}
2025-01-15 14:12:31,605 INFO    MainThread:28332 [wandb_init.py:init():596] starting backend
2025-01-15 14:12:31,605 INFO    MainThread:28332 [wandb_init.py:init():600] setting up manager
2025-01-15 14:12:31,608 INFO    MainThread:28332 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=spawn, using: spawn
2025-01-15 14:12:31,613 INFO    MainThread:28332 [wandb_init.py:init():606] backend started and connected
2025-01-15 14:12:31,614 INFO    MainThread:28332 [wandb_init.py:init():705] updated telemetry
2025-01-15 14:12:31,673 INFO    MainThread:28332 [wandb_init.py:init():738] communicating run to backend with 60.0 second timeout
2025-01-15 14:12:32,082 INFO    MainThread:28332 [wandb_run.py:_on_init():2173] communicating current version
2025-01-15 14:12:32,184 INFO    MainThread:28332 [wandb_run.py:_on_init():2182] got version response upgrade_message: "wandb version 0.19.3 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2025-01-15 14:12:32,184 INFO    MainThread:28332 [wandb_init.py:init():789] starting run threads in backend
2025-01-15 14:12:32,392 INFO    MainThread:28332 [wandb_run.py:_console_start():2152] atexit reg
2025-01-15 14:12:32,392 INFO    MainThread:28332 [wandb_run.py:_redirect():2007] redirect: SettingsConsole.WRAP_RAW
2025-01-15 14:12:32,393 INFO    MainThread:28332 [wandb_run.py:_redirect():2072] Wrapping output streams.
2025-01-15 14:12:32,393 INFO    MainThread:28332 [wandb_run.py:_redirect():2097] Redirects installed.
2025-01-15 14:12:32,395 INFO    MainThread:28332 [wandb_init.py:init():830] run started, returning control to user process
